id,title,facility,date,day,link,fee,isFree,price,category,location,lat,lng,tip
1,[서울/도서관] 서울도서관 - 한여름 밤의 시네마 토크콘서트,서울도서관 행사안내,2026-07-17 19:00 ~ 21:00,17,https://lib.seoul.go.kr,무료 (사전 선착순 예약),True,0,영화,서울특별시 중구 세종대로 110,37.5663,126.9780,서울광장 잔디밭과 밀착된 서울도서관 전면에서 열리는 한여름 밤 무료 야외 대담 행사입니다. 퇴근 길 은밀히 침투해서 낭만을 가로채십시오.
2,[서울/극장] 예술의전당 - 야외 음악 분수광장 특별 버스킹 미니 콘서트,예술의전당,2026-07-18 18:00 ~ 19:30,18,https://www.sac.or.kr/site/ko/content/musicFountain,무료 (상시 자유관람),True,0,공연,서울특별시 서초구 남부순환로 2406,37.4786,127.0117,시원한 물줄기가 솟구치는 분수 앞에서 버스커들의 명품 하모니가 울려 퍼집니다. 가벼운 돗자리 한 장 지참하면 완벽 범죄급 대만족 작전이 됩니다.
3,[인천/복합공간] 인천아트플랫폼 - 인디밴드 야외 버스킹 및 청년 기밀 아트마켓,인천아트플랫폼 야외광장,2026-07-19 13:00 ~ 18:00,19,https://www.inartplatform.kr,무상 관람,True,0,공연,인천광역시 중구 제물량로218번길 3,37.4727,126.6212,개항장의 붉은 벽돌 창고 야외광장에서 은밀한 독립 밴드 공연과 핸드메이드 보물 플리마켓이 만납니다. 쉿! 단돈 삼천 원에 기막힌 소품을 줍줍할 기회입니다.
4,[서울/도서관] 현대백화점 압구정본점 CH 1985 명사 초청 무료 인문학 요가,현대백화점 신촌점 유플렉스 광장 (CH 1985 대행),2026-07-20 14:00 ~ 15:30,20,https://culture.ehyundai.com,무료 (백화점 앱 예약),True,0,웰니스,서울특별시 강남구 압구정로 165,37.5273,127.0274,최고급 명품 백화점 전용 요가 룸에서 진행되는 프리미엄 강습을 공짜로 훔쳐 듣는 꿀팁입니다. 일요일 밤 예약 슬롯을 정밀 타격하세요.
5,[서울/도서관] 정독도서관 - 여름밤의 인문학 북토크 (한강 소설가 초청 강연),정독도서관,2026-07-22 19:00 ~ 21:00,22,https://jdlib.sen.go.kr,무료 (선착순 비공개 접수),True,0,강연,서울특별시 종로구 북촌로5길 48,37.5804,126.9815,한여름 밤 풀벌레 소리 가득한 북촌 정독도서관 정원에서 열리는 초특급 북토크입니다. 모기 퇴치 스프레이를 챙겨가는 철통 보안 유지가 필수입니다.
6,[인천/도서관] 인천부평도서관 - 천연 아로마 석고 방향제 공예 원데이 힐링 아뜰리에,부평도서관,2026-07-23 10:00 ~ 12:00,23,https://bplib.ice.go.kr,"재료비 3,000원",False,3000,체험,인천광역시 부평구 신트리로 21 부평도서관,37.4891,126.7249,단돈 삼천 원으로 고급 오가닉 오일과 디자인 석고를 조합해 나만의 비밀 향기 소품을 성형해 가는 부평도서관 전용 극비 코스입니다.
7,[서울/구청] 강남구청 문화포털 - 바쁜 직장인을 위한 대강당 한낮의 로비 런치 콘서트,강남구청 문화포털,2026-07-24 12:20 ~ 13:00,24,https://www.gangnam.go.kr/office/gct/show/list.do,무료 (런치 프리),True,0,공연,서울특별시 강남구 학동로 426,37.5173,127.0475,점심시간 40분 동안 청사 로비 홀에 울려 퍼지는 명품 바이올린 현악중주입니다. 근처 편의점에서 커피 사 들고 슬쩍 침투하십시오.
8,[서울/책방] 창비서교빌딩 - 신간 가을 단편 소설가 북토크 & 핸드드립 커피 제공,창비서교빌딩 (북토크),2026-07-24 15:00 ~ 17:00,24,https://www.instagram.com/changbi_insta,"참가비 10,000원 (커피 제공)",False,10000,강연,서울특별시 마포구 월드컵로12길 7,37.5562,126.9142,망원역 구석의 창비 빌딩에서 명품 도서 증정과 수제 바리스타 커피 한 잔을 만 원짜리 한 장으로 가로채는 극강 가성비의 독립서점 타겟입니다.
9,[서울/극장] 세종문화회관 - 사회공헌 프로젝트 '천원의 행복' (시네마 가을 오케스트라),세종문화회관,2026-07-25 19:30 ~ 21:30,25,https://happy1000.sejongpac.or.kr,"티켓가 1,000원 (전석 동일)",False,1000,공연,서울특별시 종로구 세종대로 175,37.5724,126.9754,"남들 15만 원 낼 때 우리는 단돈 1,000원으로 침투하는 세종문화회관 공식 사회공헌 작전입니다. 매진되기 전에 구글 캘린더 등록은 필수입니다."
10,[경기/쇼핑몰] 스타필드 수원 별마당도서관 - 가을 플라워 갈란드 가든 리스 만들기 아카데미,스타필드 수원 (별마당),2026-07-25 15:00 ~ 17:00,25,https://www.starfield.co.kr/suwon/starfieldLibrary/event.do,"참가비 10,000원 (키트 포함)",False,10000,체험,경기도 수원시 장안구 수성로 175 스타필드 수원,37.2902,126.9912,수원 화제의 랜드마크 별마당 4층에서 열리는 실비 만 원짜리 체험 공방입니다. 집안 무드를 가을 감성으로 은밀히 성형해 보십시오.
11,[경기/극장] 경기아트센터 - 한여름 숲속 야외 재즈 콘서트 및 대형 팝스 오케스트라 페스티벌,경기아트센터,2026-07-26 18:00 ~ 20:00,26,https://www.ggac.or.kr,"입장료 5,000원 (야외 기부석)",False,5000,공연,경기도 수원시 팔달구 효원로307번길 20,37.2656,127.0369,수원 인계동 숲속 야외 돔 무대에서 단돈 오천 원의 기부 헌금만 내면 초대형 관현악 페스티벌을 만끽할 수 있는 숨겨진 해킹 코스입니다.
12,[서울/구청] 마포구청 고시공고 - 가을 야외 수변 숲속 힐링 무료 영화제 <라라랜드>,마포구청 고시공고,2026-07-28 19:30 ~ 21:00,28,https://www.mapo.go.kr/site/main/board/notice,무료 (선착순 야외 의자 배정),True,0,영화,서울특별시 마포구 월드컵로 212,37.5662,126.9016,마포구청 수변 정원에서 한여름 야외 숲속 스크린으로 대작 음악영화를 무료 상영해 줍니다. 쉿! 따뜻한 물 한잔 텀블러에 담아가서 즐기십시오.
13,[인천/구청] 연수구청 공지사항 - 연수 구민을 위한 명사 초청 대강당 정신 의학 치유 무료특강,연수구청 공지사항,2026-07-30 15:00 ~ 17:00,30,https://www.yeonsu.go.kr/main/notice.asp,무료 (자유 지입),True,0,강연,인천광역시 연수구 원인재로 115 연수구청,37.4101,126.6782,지상파 TV 유명 전문의의 멘탈 치유 강연을 연수구청 대강당 지하에 무료 침투하여 청취할 수 있습니다. 뇌를 정화하는 작전입니다.
14,[경기/미술관] 백남준아트센터 - 가을 미디어 기획 전시 무료 전문 해설사 밀착 가이드 도슨트,백남준아트센터,2026-07-16 14:00 ~ 15:00,16,https://njp.ggcf.kr,무료 (선착순 밀착 가이드),True,0,전시,경기도 용인시 기흥구 백남준로 10,37.2694,127.1105,난해하고 어려운 비디오 거장 백남준의 예술관을 기획 미술관 무료 수석 도슨트가 친절하고 은밀하게 귓속말로 완전 독점 전수해 드립니다.
15,[서울/소극장] 대학로 아르코 - 신작 창작 연극 드레스 리허설 무료 개방 관람권,대학로 소극장 연합 (아르코·대학로예술극장),2026-07-21 19:30 ~ 21:00,21,https://theater.arko.or.kr,무료 (평가단 한정 개방),True,0,공연,서울특별시 종로구 대학로 8길 7 아르코예술극장,37.5816,127.0024,아르코 극장에서 신인 연출진들의 신작 드레스 리허설 전석 무료 관제 타겟입니다. 관객 의견서만 한 장 스윽 써주면 되는 초대박 해킹 루트!
